Time,Temperature,Pressure,Sound,Light,Pressure,Humidity
s,°C,kPa,dBA,lx,kPa,%RH
343.68,30,97.8,76.6,244,98.95,48.9
344.64,29.9,97.8,70.2,244,98.93,48.9
345.6,29.9,97.8,40,244,98.94,48.8
346.56,29.9,97.8,71.8,247,98.93,48.8
347.52,29.9,97.8,75.8,249,98.94,48.8
348.48,29.9,97.8,78.9,239,98.97,48.8
349.44,29.9,97.8,102,244,98.94,48.8
350.4,29.9,97.8,60.8,241,98.96,48.8
351.36,29.9,97.8,71.8,244,98.95,48.8
352.32,29.9,97.8,81.3,247,98.96,48.7
353.28,29.9,97.8,66.5,240,98.92,48.7
354.24,29.8,97.8,69.9,228,98.95,48.7
355.2,29.8,97.8,47.1,208,98.91,48.7
356.16,29.8,97.8,60.2,211,98.94,48.7
357.12,29.8,97.8,72.6,210,98.95,48.7
358.08,29.8,97.8,77.9,210,98.95,48.7
359.04,29.8,97.8,77.5,214,98.92,48.7
360,29.8,97.8,66.5,210,98.94,48.7
360.96,29.8,97.8,87.2,212,98.95,48.7
361.92,29.8,97.8,80.8,212,98.96,48.6
362.88,29.8,97.8,76.9,216,98.94,48.6
363.84,29.8,97.8,77.2,217,98.95,48.6
364.8,29.8,97.8,80,216,98.96,48.6
365.76,29.8,97.8,75.1,215,98.95,48.5
366.72,29.8,97.8,66.6,214,98.94,48.5
367.68,29.8,97.8,61.6,213,98.91,48.5
368.64,29.8,97.8,40.1,214,98.94,48.5
369.6,30.1,97.8,77.1,214,98.95,48.4
370.56,30.3,97.8,72.6,213,98.94,48.4
371.52,30.6,97.8,78.2,212,98.94,48.4
372.48,30.9,97.8,48.2,207,98.95,48.4
373.44,31.2,97.8,40,210,98.97,48.4
374.4,31.5,97.8,40,212,98.94,48.3
375.36,31.7,97.8,40,213,98.94,48.3
376.32,31.9,97.8,42.9,212,98.95,48.3
377.28,32.1,97.8,40,211,98.96,48.3
378.24,32.3,97.8,72.7,211,98.95,48.3
379.2,32.4,97.8,57.2,212,98.94,48.3
380.16,32.6,97.8,65.4,212,98.99,48.2
381.12,32.7,97.8,67.1,210,98.96,48.2
382.08,32.8,97.8,71.2,205,98.96,48.2
383.04,32.9,97.8,70.3,196,98.96,48.2
384,33,98.2,67.8,206,98.99,48.2
384.96,33.1,98.4,62.5,209,98.96,48.1
385.92,33.1,98.4,47.9,207,98.94,48.1
386.88,33.2,98.4,65.3,207,98.96,48.1
387.84,33.3,98.2,40,206,98.92,48.1
388.8,33.3,98.4,40,206,98.94,48.1
389.76,33.4,98.4,59.4,206,98.96,48.1
390.72,33.4,98.4,75.5,206,98.94,48
391.68,33.5,98.4,71.5,204,98.92,48
392.64,33.5,98.6,82.8,205,98.93,48
393.6,33.5,98.6,83.1,204,98.96,48
394.56,33.6,98.6,84.2,208,98.95,48
395.52,33.6,98.6,74.2,209,98.94,48
396.48,33.6,98.6,87.8,210,98.98,47.9
397.44,33.6,98.6,88.6,204,98.94,47.9
398.4,33.6,98.6,67.6,201,98.94,47.9
399.36,33.7,98.6,79.6,209,98.96,47.9
400.32,33.7,98.6,83.1,209,98.95,47.9
401.28,33.7,98.6,70.8,206,98.94,47.9
402.24,33.7,98.6,42,207,98.97,47.8
403.2,33.7,98.6,73.9,207,98.94,47.8
404.16,33.7,98.6,71.5,207,98.95,47.8
405.12,33.7,98.6,76.3,208,98.94,47.8
406.08,33.8,98.6,43.7,206,98.93,47.8
407.04,33.8,98.6,40,206,98.91,47.8
408,33.8,98.6,77.3,206,98.95,47.8
408.96,33.8,98.6,77.7,205,98.94,47.7
409.92,33.8,98.6,75.8,198,98.95,47.7
410.88,33.8,98.6,73.3,205,98.95,47.7
411.84,33.8,98.6,77.3,206,98.95,47.7
412.8,33.8,98.6,79.8,204,98.96,47.7
413.76,33.8,98.6,66.6,206,98.91,47.6
414.72,33.8,98.8,84.1,207,98.95,47.6
415.68,33.8,98.6,73.1,208,98.96,47.6
416.64,33.8,98.8,72.8,208,98.95,47.6
417.6,33.8,98.8,40,204,98.91,47.5
418.56,33.8,98.8,81.3,209,98.94,47.5
419.52,33.8,98.8,59.5,211,98.94,47.5
420.48,33.8,98.8,70.5,210,98.97,47.5
421.44,33.8,98.8,82.5,210,98.95,47.5
422.4,33.8,98.8,40,212,98.94,47.4
423.36,33.9,98.8,48.9,212,98.93,47.4
424.32,33.9,98.8,77.5,213,98.91,47.4
425.28,33.9,98.8,69.6,212,98.96,47.4
426.24,33.9,98.8,69.4,212,98.96,47.4
427.2,33.9,98.8,71.6,212,98.96,47.4
428.16,33.9,98.8,61.4,213,98.99,47.4
429.12,33.9,98.8,70.3,215,98.92,47.4
430.08,33.9,98.8,46.1,213,98.94,47.4
431.04,33.9,98.8,82.7,208,98.98,47.3
432,33.9,98.8,68.2,211,98.93,47.3
432.96,33.9,98.8,76.7,212,98.97,47.3
433.92,33.9,98.8,40,213,98.98,47.3
434.88,33.9,98.8,70.8,213,98.97,47.3
435.84,33.9,98.8,40,214,98.96,47.3
436.8,33.9,98.8,40,214,98.92,47.2
437.76,33.9,98.8,66.3,210,98.95,47.2
438.72,33.9,98.8,63.3,208,98.97,47.2
439.68,33.9,98.8,72.6,217,98.93,47.2
440.64,33.9,98.8,70.1,219,98.92,47.2
441.6,33.9,98.8,43.6,219,98.95,47.2
442.56,33.9,98.8,40,216,98.96,47.2
443.52,33.9,98.8,51.3,214,98.93,47.1
444.48,33.9,98.8,40,215,98.97,47.1
445.44,33.9,98.8,69.8,216,98.93,47.1
446.4,33.9,98.8,40.6,217,98.94,47.1
447.36,33.9,98.8,66.5,219,98.94,47.1
448.32,33.9,99,66.5,221,98.93,47.1
449.28,33.9,99,51.1,221,98.92,47
450.24,33.9,98.8,52.1,222,98.96,47
451.2,33.9,99,62.5,219,98.96,47
452.16,33.9,98.8,74.6,219,98.93,47
453.12,33.9,99,74.1,223,98.96,47
454.08,33.9,98.8,55.5,224,98.97,47
455.04,33.9,99,58.5,224,98.94,47
456,33.9,99,55.6,225,98.97,46.9
456.96,33.9,99,66.2,226,98.96,46.9
